DateID,Date,Year,Quarter,Month,MonthName,Week,DayOfWeek,IsWeekend,FiscalYear,FiscalQuarter
20200920,2020-09-20,2020,Q3,9,September,38,Sunday,True,2020,FQ2
20200921,2020-09-21,2020,Q3,9,September,39,Monday,False,2020,FQ2
20200922,2020-09-22,2020,Q3,9,September,39,Tuesday,False,2020,FQ2
20200923,2020-09-23,2020,Q3,9,September,39,Wednesday,False,2020,FQ2
20200924,2020-09-24,2020,Q3,9,September,39,Thursday,False,2020,FQ2
20200925,2020-09-25,2020,Q3,9,September,39,Friday,False,2020,FQ2
20200926,2020-09-26,2020,Q3,9,September,39,Saturday,True,2020,FQ2
20200927,2020-09-27,2020,Q3,9,September,39,Sunday,True,2020,FQ2
20200928,2020-09-28,2020,Q3,9,September,40,Monday,False,2020,FQ2
20200929,2020-09-29,2020,Q3,9,September,40,Tuesday,False,2020,FQ2
20200930,2020-09-30,2020,Q3,9,September,40,Wednesday,False,2020,FQ2
20201001,2020-10-01,2020,Q4,10,October,40,Thursday,False,2020,FQ3
20201002,2020-10-02,2020,Q4,10,October,40,Friday,False,2020,FQ3
20201003,2020-10-03,2020,Q4,10,October,40,Saturday,True,2020,FQ3
20201004,2020-10-04,2020,Q4,10,October,40,Sunday,True,2020,FQ3
20201005,2020-10-05,2020,Q4,10,October,41,Monday,False,2020,FQ3
20201006,2020-10-06,2020,Q4,10,October,41,Tuesday,False,2020,FQ3
20201007,2020-10-07,2020,Q4,10,October,41,Wednesday,False,2020,FQ3
20201008,2020-10-08,2020,Q4,10,October,41,Thursday,False,2020,FQ3
20201009,2020-10-09,2020,Q4,10,October,41,Friday,False,2020,FQ3
20201010,2020-10-10,2020,Q4,10,October,41,Saturday,True,2020,FQ3
20201011,2020-10-11,2020,Q4,10,October,41,Sunday,True,2020,FQ3
20201012,2020-10-12,2020,Q4,10,October,42,Monday,False,2020,FQ3
20201013,2020-10-13,2020,Q4,10,October,42,Tuesday,False,2020,FQ3
20201014,2020-10-14,2020,Q4,10,October,42,Wednesday,False,2020,FQ3
20201015,2020-10-15,2020,Q4,10,October,42,Thursday,False,2020,FQ3
20201016,2020-10-16,2020,Q4,10,October,42,Friday,False,2020,FQ3
20201017,2020-10-17,2020,Q4,10,October,42,Saturday,True,2020,FQ3
20201018,2020-10-18,2020,Q4,10,October,42,Sunday,True,2020,FQ3
20201019,2020-10-19,2020,Q4,10,October,43,Monday,False,2020,FQ3
20201020,2020-10-20,2020,Q4,10,October,43,Tuesday,False,2020,FQ3
20201021,2020-10-21,2020,Q4,10,October,43,Wednesday,False,2020,FQ3
20201022,2020-10-22,2020,Q4,10,October,43,Thursday,False,2020,FQ3
20201023,2020-10-23,2020,Q4,10,October,43,Friday,False,2020,FQ3
20201024,2020-10-24,2020,Q4,10,October,43,Saturday,True,2020,FQ3
20201025,2020-10-25,2020,Q4,10,October,43,Sunday,True,2020,FQ3
20201026,2020-10-26,2020,Q4,10,October,44,Monday,False,2020,FQ3
20201027,2020-10-27,2020,Q4,10,October,44,Tuesday,False,2020,FQ3
20201028,2020-10-28,2020,Q4,10,October,44,Wednesday,False,2020,FQ3
20201029,2020-10-29,2020,Q4,10,October,44,Thursday,False,2020,FQ3
20201030,2020-10-30,2020,Q4,10,October,44,Friday,False,2020,FQ3
20201031,2020-10-31,2020,Q4,10,October,44,Saturday,True,2020,FQ3
20201101,2020-11-01,2020,Q4,11,November,44,Sunday,True,2020,FQ3
20201102,2020-11-02,2020,Q4,11,November,45,Monday,False,2020,FQ3
20201103,2020-11-03,2020,Q4,11,November,45,Tuesday,False,2020,FQ3
20201104,2020-11-04,2020,Q4,11,November,45,Wednesday,False,2020,FQ3
20201105,2020-11-05,2020,Q4,11,November,45,Thursday,False,2020,FQ3
20201106,2020-11-06,2020,Q4,11,November,45,Friday,False,2020,FQ3
20201107,2020-11-07,2020,Q4,11,November,45,Saturday,True,2020,FQ3
20201108,2020-11-08,2020,Q4,11,November,45,Sunday,True,2020,FQ3
20201109,2020-11-09,2020,Q4,11,November,46,Monday,False,2020,FQ3
20201110,2020-11-10,2020,Q4,11,November,46,Tuesday,False,2020,FQ3
20201111,2020-11-11,2020,Q4,11,November,46,Wednesday,False,2020,FQ3
20201112,2020-11-12,2020,Q4,11,November,46,Thursday,False,2020,FQ3
20201113,2020-11-13,2020,Q4,11,November,46,Friday,False,2020,FQ3
20201114,2020-11-14,2020,Q4,11,November,46,Saturday,True,2020,FQ3
20201115,2020-11-15,2020,Q4,11,November,46,Sunday,True,2020,FQ3
20201116,2020-11-16,2020,Q4,11,November,47,Monday,False,2020,FQ3
20201117,2020-11-17,2020,Q4,11,November,47,Tuesday,False,2020,FQ3
20201118,2020-11-18,2020,Q4,11,November,47,Wednesday,False,2020,FQ3
20201119,2020-11-19,2020,Q4,11,November,47,Thursday,False,2020,FQ3
20201120,2020-11-20,2020,Q4,11,November,47,Friday,False,2020,FQ3
20201121,2020-11-21,2020,Q4,11,November,47,Saturday,True,2020,FQ3
20201122,2020-11-22,2020,Q4,11,November,47,Sunday,True,2020,FQ3
20201123,2020-11-23,2020,Q4,11,November,48,Monday,False,2020,FQ3
20201124,2020-11-24,2020,Q4,11,November,48,Tuesday,False,2020,FQ3
20201125,2020-11-25,2020,Q4,11,November,48,Wednesday,False,2020,FQ3
20201126,2020-11-26,2020,Q4,11,November,48,Thursday,False,2020,FQ3
20201127,2020-11-27,2020,Q4,11,November,48,Friday,False,2020,FQ3
20201128,2020-11-28,2020,Q4,11,November,48,Saturday,True,2020,FQ3
20201129,2020-11-29,2020,Q4,11,November,48,Sunday,True,2020,FQ3
20201130,2020-11-30,2020,Q4,11,November,49,Monday,False,2020,FQ3
20201201,2020-12-01,2020,Q4,12,December,49,Tuesday,False,2020,FQ3
20201202,2020-12-02,2020,Q4,12,December,49,Wednesday,False,2020,FQ3
20201203,2020-12-03,2020,Q4,12,December,49,Thursday,False,2020,FQ3
20201204,2020-12-04,2020,Q4,12,December,49,Friday,False,2020,FQ3
20201205,2020-12-05,2020,Q4,12,December,49,Saturday,True,2020,FQ3
20201206,2020-12-06,2020,Q4,12,December,49,Sunday,True,2020,FQ3
20201207,2020-12-07,2020,Q4,12,December,50,Monday,False,2020,FQ3
20201208,2020-12-08,2020,Q4,12,December,50,Tuesday,False,2020,FQ3
20201209,2020-12-09,2020,Q4,12,December,50,Wednesday,False,2020,FQ3
20201210,2020-12-10,2020,Q4,12,December,50,Thursday,False,2020,FQ3
20201211,2020-12-11,2020,Q4,12,December,50,Friday,False,2020,FQ3
20201212,2020-12-12,2020,Q4,12,December,50,Saturday,True,2020,FQ3
20201213,2020-12-13,2020,Q4,12,December,50,Sunday,True,2020,FQ3
20201214,2020-12-14,2020,Q4,12,December,51,Monday,False,2020,FQ3
20201215,2020-12-15,2020,Q4,12,December,51,Tuesday,False,2020,FQ3
20201216,2020-12-16,2020,Q4,12,December,51,Wednesday,False,2020,FQ3
